artworkId,period
nga:46087,Rococó
nga:1160,Rococó
nga:1159,Rococó
nga:107,Rococó
nga:52265,Rococó
nga:166447,Rococó
nga:166448,Rococó
nga:100,Rococó
nga:114,Rococó
nga:99,Rococó
nga:1161,Rococó
nga:46094,Rococó
nga:106,Rococó
nga:231753,Rococó
nga:231754,Rococó
nga:34060,Rococó
nga:50305,Rococó
nga:50306,Rococó
nga:34153,Rococó
nga:1134,Rococó
nga:1135,Rococó
nga:34151,Rococó
nga:220445,Renacimiento
nga:195072,Barroco
nga:231676,Barroco
nga:117333,Barroco
nga:157388,Barroco
nga:61392,Rococó
nga:231772,Barroco
nga:225441,Barroco
nga:34073,Rococó
nga:227488,Barroco
nga:41610,Rococó
